sample_type,classifier,0
daily,Random Forest,mean
daily,Random Forest,sd
daily,Random Forest,inactive_ratio
daily,Random Forest,longest_inactivity
daily,Random Forest,12_hour_day_activity
daily,Random Forest,12_hour_night_activity
daily,Random Forest,day_night_ratio
daily,Random Forest,mean_absolute_change_activity
daily,Random Forest,RA
daily,Random Forest,activity_afternoon
daily,Random Forest,activity_evening
daily,Random Forest,inactive_morning
daily,Random Forest,inactive_evening
daily,Logistic Regression,sd
daily,Logistic Regression,inactive_ratio
daily,Logistic Regression,longest_inactivity
daily,Logistic Regression,12_hour_day_activity
daily,Logistic Regression,12_hour_night_activity
daily,Logistic Regression,day_night_ratio
daily,Logistic Regression,mean_absolute_change_activity
daily,Logistic Regression,IV
daily,Logistic Regression,RA
daily,Logistic Regression,activity_night
daily,Logistic Regression,activity_afternoon
daily,Logistic Regression,inactive_night
daily,Logistic Regression,inactive_morning
daily,Logistic Regression,inactive_afternoon
daily,Logistic Regression,inactive_evening
daily,Decision Tree,inactive_ratio
